000001	1	person	1031	316	1096	400	0
000001	2	motorbike	1013	389	1102	462	0
000001	3	car	636	293	826	456	1
000001	4	car	1	312	291	536	0
000001	5	car	394	325	476	396	0
000001	6	car	579	332	663	403	0
000002	1	person	1031	316	1096	400	0
000002	2	motorbike	1013	389	1102	462	0
000002	3	car	636	293	826	456	1
000002	4	car	1	312	291	536	0
000002	5	car	394	325	476	394	0
000002	6	car	579	330	661	401	0
000003	1	person	1029	314	1095	398	0
000003	2	motorbike	1011	387	1100	460	0
000003	3	car	636	295	826	458	1
000003	4	car	1	311	298	529	0
000003	5	car	396	325	476	394	0
000003	6	car	579	330	661	401	0
000004	1	person	1027	314	1093	398	0
000004	2	motorbike	1009	387	1098	460	0
000004	3	car	636	296	826	460	1
000004	4	car	3	309	305	524	0
000004	5	car	396	325	476	394	0
000004	6	car	579	330	659	401	0
000005	1	person	1025	314	1091	398	0
000005	2	motorbike	1008	387	1096	460	0
000005	3	car	638	298	828	462	1
000005	4	car	5	309	312	519	0
000005	5	car	398	325	476	394	0
000005	6	car	581	330	659	400	0
000006	1	person	1024	314	1089	396	0
000006	2	motorbike	1006	387	1095	460	0
000006	3	car	638	300	828	464	1
000006	4	car	7	307	320	513	0
000006	5	car	398	325	478	394	0
000006	6	car	581	330	659	400	0
000007	1	person	1024	314	1088	396	0
000007	2	motorbike	1004	385	1093	458	0
000007	3	car	640	302	830	465	1
000007	4	car	8	307	327	508	0
000007	5	car	400	325	478	392	0
000007	6	car	581	328	657	400	0
000008	1	person	1022	314	1086	396	0
000008	2	motorbike	1002	385	1091	458	0
000008	3	car	640	300	830	464	1
000008	4	car	16	307	334	506	0
000008	5	car	400	325	478	392	0
000008	6	car	583	328	657	398	0
000009	1	person	1020	314	1084	394	0
000009	2	motorbike	1000	385	1089	458	0
000009	3	car	641	300	832	464	1
000009	4	car	23	309	341	504	0
000009	5	car	401	325	478	392	0
000009	6	car	583	328	656	398	0
000010	1	person	1018	314	1082	394	0
000010	2	motorbike	999	385	1088	458	0
000010	3	car	643	300	833	464	1
000010	4	car	30	309	348	503	0
000010	5	car	401	325	478	392	0
000010	6	car	583	328	656	398	0
000011	1	person	1018	314	1082	394	0
000011	2	motorbike	997	385	1086	458	0
000011	3	car	645	300	835	464	1
000011	4	car	39	311	355	501	0
000011	5	car	403	325	480	392	0
000011	6	car	584	328	656	398	0
000012	1	person	1016	314	1080	394	0
000012	2	motorbike	995	384	1082	456	0
000012	3	car	645	298	835	464	1
000012	4	car	53	311	359	496	0
000012	5	car	403	323	480	391	0
000012	6	car	581	328	656	396	0
000013	1	person	1015	314	1079	394	0
000013	2	motorbike	995	384	1080	456	0
000013	3	car	645	298	835	465	1
000013	4	car	67	311	364	492	0
000013	5	car	405	323	481	391	0
000013	6	car	579	328	656	396	0
000014	1	person	1013	314	1077	394	0
000014	2	motorbike	993	384	1079	455	0
000014	3	car	647	298	835	467	1
000014	4	car	81	311	369	488	0
000014	5	car	407	321	483	389	0
000014	6	car	577	328	656	396	0
000015	1	person	1011	314	1075	394	0
000015	2	motorbike	993	382	1077	455	0
000015	3	car	647	298	835	469	1
000015	4	car	96	311	375	485	0
000015	5	car	408	321	485	389	0
000015	6	car	576	328	656	396	0
000016	1	person	1011	314	1075	394	0
000016	2	motorbike	992	382	1075	453	0
000016	3	car	648	298	837	471	1
000016	4	car	110	312	380	481	0
000016	5	car	410	321	487	389	0
000016	6	car	574	328	656	396	0
000017	1	person	1009	314	1072	394	0
000017	2	motorbike	992	382	1073	453	0
000017	3	car	647	298	839	469	1
000017	4	car	122	312	385	474	0
000017	5	car	410	321	485	387	0
000017	6	car	572	327	654	394	0
000018	1	person	1009	316	1068	394	0
000018	2	motorbike	990	380	1072	451	0
000018	3	car	645	298	842	469	1
000018	4	car	135	312	392	469	0
000018	5	car	412	321	483	385	0
000018	6	car	570	327	652	394	0
000019	1	person	1009	316	1064	394	0
000019	2	motorbike	990	380	1070	451	0
000019	3	car	643	298	844	469	1
000019	4	car	147	312	398	462	0
000019	5	car	412	321	481	384	0
000019	6	car	570	327	652	394	0
000020	1	person	1009	318	1061	396	0
000020	2	motorbike	990	380	1068	451	0
000020	3	car	643	298	848	469	1
000020	4	car	160	312	405	456	0
000020	5	car	414	321	480	384	0
000020	6	car	568	327	650	394	0
000021	1	person	1008	318	1059	396	0
000021	2	motorbike	988	380	1064	449	0
000021	3	car	643	296	849	469	1
000021	4	car	168	312	405	453	0
000021	5	car	410	321	476	384	0
000021	6	car	567	327	648	394	0
000022	1	person	1006	318	1057	396	0
000022	2	motorbike	988	380	1061	449	0
000022	3	car	643	295	851	471	1
000022	4	car	179	312	407	451	0
000022	5	car	408	321	474	384	0
000022	6	car	567	327	648	394	0
000023	1	person	1006	318	1057	396	0
000023	2	motorbike	988	380	1059	449	0
000023	3	car	643	293	853	471	1
000023	4	car	188	312	407	448	0
000023	5	car	407	321	472	384	0
000023	6	car	565	327	647	394	0
000024	1	person	1004	318	1056	396	0
000024	2	motorbike	986	380	1056	449	0
000024	3	car	643	293	855	472	1
000024	4	car	199	312	408	446	0
000024	5	car	405	321	471	384	0
000024	6	car	565	327	647	394	0
000024	7	car	0	343	325	625	0
000025	1	person	1002	318	1054	396	0
000025	2	motorbike	986	380	1054	448	0
000025	3	car	643	291	853	472	1
000025	4	car	211	312	412	442	0
000025	5	car	405	321	469	382	0
000025	6	car	563	325	645	392	0
000025	7	car	0	341	337	624	0
000026	1	person	1002	318	1054	396	0
000026	2	motorbike	986	380	1050	448	0
000026	3	car	643	289	853	474	1
000026	4	car	225	312	416	439	0
000026	5	car	407	321	469	380	0
000026	6	car	561	325	643	392	0
000026	7	car	0	341	352	622	0
000027	1	person	1000	318	1052	396	0
000027	2	motorbike	984	380	1048	448	0
000027	3	car	643	288	853	474	1
000027	4	car	240	312	419	435	0
000027	5	car	407	321	467	378	0
000027	6	car	560	323	641	391	0
000027	7	car	0	339	364	622	0
000028	1	person	999	318	1050	396	0
000028	2	motorbike	984	380	1045	448	0
000028	3	car	643	286	853	476	1
000028	4	car	254	312	423	432	0
000028	5	car	408	321	467	376	0
000028	6	car	558	323	640	391	0
000028	7	car	0	339	378	620	0
000029	1	person	999	318	1050	396	0
000029	2	motorbike	984	380	1043	448	0
000029	3	car	643	286	853	478	1
000029	4	car	268	312	428	430	0
000029	5	car	410	323	467	375	0
000029	6	car	558	323	640	391	0
000029	7	car	0	339	392	620	0
000030	1	person	995	316	1047	394	0
000030	2	motorbike	981	378	1040	446	0
000030	3	car	641	286	855	480	1
000030	4	car	270	311	430	428	0
000030	5	car	408	323	465	375	0
000030	6	car	554	323	636	391	0
000030	7	car	8	337	401	609	0
000031	1	person	993	316	1045	394	0
000031	2	motorbike	979	378	1036	444	0
000031	3	car	641	286	858	481	1
000031	4	car	272	311	432	428	0
000031	5	car	407	323	464	375	0
000031	6	car	551	323	632	391	0
000031	7	car	17	336	410	600	0
000032	1	person	992	316	1043	394	0
000032	2	motorbike	976	378	1034	442	0
000032	3	car	641	286	862	485	1
000032	4	car	273	311	433	428	0
000032	5	car	407	323	464	375	0
000032	6	car	547	323	629	391	0
000032	7	car	28	336	421	592	0
000033	1	person	990	316	1041	394	0
000033	2	motorbike	974	378	1031	440	0
000033	3	car	641	286	865	487	1
000033	4	car	275	311	435	428	0
000033	5	car	405	323	462	375	0
000033	6	car	544	323	625	391	0
000033	7	car	37	334	430	583	0
000034	1	person	988	316	1040	394	0
000034	2	motorbike	972	378	1029	440	0
000034	3	car	641	286	869	490	1
000034	6	car	540	323	622	391	0
000034	7	car	48	334	440	574	0
000035	1	person	984	316	1032	391	0
000035	2	motorbike	970	376	1025	439	0
000035	3	car	640	284	871	490	1
000035	6	car	536	323	618	391	0
000035	7	car	69	332	444	563	0
000036	1	person	981	316	1027	389	0
000036	2	motorbike	968	375	1022	437	0
000036	3	car	638	282	872	492	1
000036	6	car	533	323	615	391	0
000036	7	car	92	332	449	552	0
000037	1	person	977	316	1020	387	0
000037	2	motorbike	967	373	1018	435	0
000037	3	car	638	282	876	494	1
000037	6	car	529	323	611	391	0
